60,43,335222,37625,6402,15262,5617,4743,3010,3001,2
53,41,1390834,335514,76133,38815,60324,24701,20048,7429,2
51,40,79530,112632,38547,14908,17986,9660,13927,3815,2
69,35,50681,16683,12000,3729,12840,24123,17894,9833,2
70,41,191980,88310,23028,38050,20804,12164,5358,1101,2
84,87,35996,46440,19244,15462,15604,28058,6530,4196,2
93,74,26703,15000,7805,2375,8391,4177,1557,1175,2
88,54,31870,22134,8637,1235,4612,9414,7032,4765,2
90,63,650955,32848,30201,17295,6370,13817,9337,5960,2
88,56,11190,15413,7165,2360,22070,7537,7354,9057,2
88,54,145301,95164,23398,19654,10707,24948,14317,7675,2
88,54,1398453,886579,42060,61690,130209,95535,11654,3847,2
78,51,1279323,587310,145766,15330,81889,64730,50587,42845,2
81,34,695524,24242,2037,5264,5553,9104,3821,1351,2
63,30,907566,239057,43198,11154,32862,8240,17502,6196,2
81,35,1341337,228561,3960,14108,16843,17008,11966,9742,0
64,24,1170527,185794,11122,31759,31972,21574,14265,7026,0
69,37,775190,68695,39714,7892,14200,29637,11676,10946,0
70,17,101355,73697,3602,23285,48276,22035,12712,10250,0
75,50,833294,9741,5393,9885,4709,2907,1558,309,0
74,56,110110,57989,13874,9495,6406,5785,3320,1764,0
69,51,930618,131744,29059,19442,29996,27933,45866,11245,0
69,51,2088599,31438,9602,1226,3874,15672,7798,2451,0
70,63,115404,19870,15734,8815,10207,12311,6029,10093,0
83,60,33393,5248,7834,8538,9925,9951,23176,10041,0
47,64,2130518,1661693,211568,64248,35348,22790,55008,95273,0
44,57,354218,31936,4483,9753,12484,6086,4927,1959,0
67,78,324031,21610,43009,3470,11711,13309,7864,6263,0
66,67,318203,207311,44203,38252,49274,23221,13829,8424,0
67,51,408977,50681,4637,1712,15661,7208,4452,1272,0
67,51,408977,50681,4637,1712,15661,7208,4452,1272,0
67,51,685348,39998,30516,7240,11045,14652,3997,1006,0
67,51,125134,15427,14543,13189,12886,18138,2720,892,0
67,51,1088071,530264,110966,158468,91928,24320,18876,14023,0
63,56,15959,12165,4284,1348,804,1101,698,1033,0
50,74,1643200,432934,133448,103877,67657,14669,12223,8481,0
50,74,570386,23605,18341,4281,2328,2313,688,434,0
50,74,111730,26624,8091,7159,6303,5559,852,293,0
51,77,227096,184785,262639,113858,96331,67401,13521,13690,0
50,87,406014,56125,34991,22877,12841,8549,3681,1925,0
50,87,1083197,65280,4127,1645,25154,17755,26092,5950,0
56,87,1248258,255116,93552,183021,149454,152342,7050,3129,0
61,69,125172,70033,5105,2260,3391,3060,2581,1000,0
